,Date,DBO,DTO,OLEM,OLO,SCO,SZO,UCO,USL,USO
296,2011-12-12,26.751516,45.330002,40.970001,13.36,21.530001000000002,42.709998999999996,371.899994,41.48,36.27
297,2011-12-19,28.208183000000002,40.77,43.439999,14.07,19.084999,40.419998,417.600006,43.580002,38.490002000000004
298,2011-12-26,28.119602,41.419998,43.970001,14.02,19.344998999999998,40.740002000000004,409.399994,43.48,38.110001000000004
299,2012-01-02,29.064467999999998,39.0,44.849998,14.53,18.135,39.779999,433.700012,44.889998999999996,39.220001
300,2012-01-09,28.355818,41.299999,44.77,14.16,19.115,40.66,410.600006,43.91,38.16
301,2012-01-16,28.139288,42.099998,43.220001,14.11,19.424999,41.049999,402.200012,43.709998999999996,37.779999
302,2012-01-23,28.53298,41.009997999999996,43.5,14.26,18.905001000000002,40.580002,412.5,44.209998999999996,38.299999
303,2012-01-30,28.158972,42.560001,42.509997999999996,14.0,19.615,41.349998,397.200012,43.830002,37.59
304,2012-02-06,28.601877,41.639998999999996,43.959998999999996,14.28,19.110001,40.799999,405.5,44.540001000000004,38.02
305,2012-02-13,29.723906,37.849998,43.959998999999996,14.86,17.52,38.919998,441.700012,45.970001,39.75
306,2012-02-20,31.37742,32.75,47.939999,15.6,15.62,36.450001,492.60000599999995,48.279999,42.009997999999996
307,2012-02-27,30.570346999999998,35.310001,46.630001,15.19,16.459999,37.73,465.0,47.169998,40.77
308,2012-03-05,30.796721999999995,34.790001000000004,47.150002,15.44,16.195,37.459998999999996,471.89999400000005,47.57,41.09
309,2012-03-12,30.777039000000002,34.91,46.27,15.3,16.215,37.580002,470.0,47.639998999999996,41.029999
310,2012-03-19,30.491609999999998,35.459998999999996,46.599998,15.15,16.42,37.880001,460.89999400000005,47.259997999999996,40.689999
311,2012-03-26,29.438477000000002,37.919998,45.099998,14.84,17.58,39.110001000000004,429.10000599999995,45.810001,39.23
312,2012-04-02,29.428634999999996,37.919998,45.150002,14.51,17.504998999999998,38.990002000000004,428.10000599999995,45.889998999999996,39.259997999999996
313,2012-04-09,29.330212,38.130001,44.830002,14.39,17.545,39.200001,425.5,45.75,39.150002
314,2012-04-16,29.487688000000002,37.619999,45.07,14.67,17.32,38.970001,430.0,45.799999,39.389998999999996
315,2012-04-23,29.694378000000004,37.139998999999996,45.34,14.73,17.120001000000002,38.689999,434.799988,46.040001000000004,39.619999
316,2012-04-30,27.893228999999998,41.450001,44.91,13.85,19.16,40.869999,384.600006,43.48,37.290001000000004
317,2012-05-07,27.105840999999998,43.34,41.470001,13.52,20.23,42.009997999999996,363.5,42.32,36.259997999999996
318,2012-05-14,25.698383,46.759997999999996,39.93,12.9,22.4,43.830002,328.0,40.220001,34.43
319,2012-05-21,25.531063,47.130001,39.43,12.73,22.635,43.740002000000004,323.100006,40.0,34.220001
320,2012-05-28,23.395273,53.84,37.470001,11.81,26.635,47.560001,272.0,36.91,31.43
321,2012-06-04,23.88739,52.689999,36.049999,12.06,25.995001000000002,47.099998,277.799988,37.470001,31.799999
