,Date,BDCL,BDCZ,BIZD,CHIX,DPST,DXJF,EUFN,FAS,FINU,FINZ,FNCL,FXO,IAI,IAK,IAT,IXG,IYF,IYG,JHMF,KBE,KBWB,KBWD,KBWP,KBWR,KCE,KIE,KRE,LMLP,PEX,PFI,PHDG,PSCF,PSP,QABA,RYF,SEF,SKF,UYG,VFH,VQT,WDRW,XLF
75,2011-06-01,6.958302000000001,,,11.13415,,,17.109652,10.53508,,,,12.772939,23.550539,27.359049,19.966059,37.310905,49.312332,48.797253000000005,,20.84305,,12.162986,21.335176,,29.250013,12.138879,22.086911999999998,,,17.579615,,22.513289999999998,6.260957,21.691212,9.564233999999999,72.940002,245.725006,9.956994,27.322309000000004,110.349998,,8.188623
76,2011-07-01,6.061102,,,11.017386,,,15.920263,9.425691,,,,12.419992,23.025246,26.09396,19.35387,36.194122,47.869102000000005,47.103221999999995,,19.952082,,11.676813000000001,20.872284,,27.906215999999997,11.421175999999999,21.591151999999997,,,16.821539,,22.266586,6.346164,21.177828,9.213301,74.980003,259.052734,9.304406,26.557962,110.599998,,7.923572999999999
77,2011-08-01,5.7786,,,9.674617,,,13.77161,6.413913,,,,11.455763000000001,20.115122,23.813572,16.967064,32.541653000000004,43.733684999999994,42.275341,,17.353432,,11.392271000000001,18.739353,,24.656694,10.318161,19.221176,,,15.56419,,20.843754,5.6451720000000005,19.229006,8.206835,79.160004,278.72506699999997,7.465877000000001,24.155268,120.07,,7.163339
78,2011-09-01,4.578158,,,6.980736,,,11.887649,4.363596,,,,10.41192,17.540101999999997,22.098927,15.643947,28.558653000000003,38.746582000000004,36.873146000000006,,15.295434,,10.808902,18.231512,,21.307951,9.320194,16.825066,,,14.046394,,18.881216000000002,4.77048,17.163967,7.4588779999999995,87.5,336.744598,5.808368,21.307934,123.739998,,6.322798000000001
79,2011-10-01,5.816848,,,8.957360000000001,,,13.397929999999999,6.027678,,,,11.83615,19.721123000000002,25.530668,17.780994,32.103687,44.252871999999996,42.053238,,17.313572,,11.788857,21.129579999999997,,24.613083,10.778036,20.556801,,,16.124052,,21.824768,5.46047,20.31963,8.498617999999999,75.239998,244.009155,7.390836999999999,24.41037,128.5,,7.255664
80,2011-11-01,5.451795,,,8.673795,,,12.214617,5.098258,,,,11.606147,18.756737,24.7623,17.737478,30.351831,42.488396,40.080738000000004,,16.831659,19.24,11.543128999999999,20.814968,20.908898999999998,23.742335999999998,10.754610000000001,20.679476,,,15.871976,,21.487238,5.086036,20.185537,8.159504,77.160004,253.785461,6.706030999999999,23.369251000000002,128.029999,,6.884819
81,2011-12-01,5.42082,,,8.665453999999999,,,11.794228,5.330815,,,,11.668073,18.50901,24.945662,18.416339999999998,29.566795000000003,43.273590000000006,40.774258,,17.37491,20.1,11.646233,20.976528,21.722739999999998,23.178421,10.898121000000002,21.38924,,,16.142057,,22.261105,4.9861889999999995,20.525234,8.301377,74.760002,236.70683300000002,7.001098,23.765048999999998,125.970001,,6.986936999999999
82,2012-01-01,6.0403400000000005,,,9.818296,,,13.203095000000001,6.521558,,,,12.54313,20.106287,26.358732,19.475889000000002,32.830273,46.622386999999996,44.389441999999995,,18.644644,21.790001,12.607236,22.296260999999998,23.023876,25.894253,11.454666,22.754284,,,16.960205,,23.604055,5.522876,21.642694,8.92078,69.660004,205.22306799999998,8.010947,25.774185,129.369995,,7.605042999999999
83,2012-02-01,6.684446,,,10.402719,,,14.070792,7.509328,,,,13.212693,21.580517,27.681526,20.343235,34.714667999999996,48.89492,47.689934,,19.678005,23.23,12.893842999999999,23.068054,23.84211,27.650934000000003,12.021201,23.706415,,,17.839482999999998,,23.928879000000002,5.828661,22.102606,9.436371000000001,66.160004,185.15168799999998,8.787269,26.901594,134.830002,,7.983672
84,2012-03-01,6.797743,,,9.18378,,,13.898817000000001,8.969609,,,,13.810835,22.521889,28.263546,21.727486,35.728043,51.948631,51.740963,,21.064644,25.33,13.240726,23.239567,24.825739000000002,28.723526,12.333978,25.099358,,,18.401506,,24.945010999999997,5.916028,23.392155,9.810086,61.919998,161.209656,9.912306,28.592703000000004,133.970001,,8.546207
85,2012-04-01,6.684446,,,9.743155,,,12.937314,8.493803999999999,,,,13.605502,21.008492,28.335946999999997,21.786564000000002,34.605796999999995,51.428055,50.142559000000006,,20.5952,24.610001,13.398543,24.147207,24.773056,27.888718,12.440452,24.83025,,,18.157541000000002,,24.991249,5.778736,23.040454999999998,9.742291,62.459998999999996,163.962982,9.649217,28.169039,131.300003,,8.372724
86,2012-05-01,6.685919,,,8.933311999999999,,,10.990853999999999,6.4656839999999995,,,,12.632405,18.76235,26.071898,20.626951000000002,30.468506,47.13644,44.966976,,19.222179,22.530001000000002,13.011842,23.940748000000003,23.50445,25.270973,11.707094999999999,23.556454000000002,,,17.032894,,23.731679999999997,5.142201999999999,22.102606,8.924607,67.860001,193.092438,8.091361000000001,25.876611999999998,127.900002,,7.602197
87,2012-06-01,7.624233,,,9.334062,,,12.038346,7.33018,,,,13.051996,19.190191,26.850170000000002,21.039848000000003,32.361275,49.219916999999995,47.060776000000004,,19.523357,23.389999,13.490584,24.112797,24.332569,26.219807,12.038287,24.219891,,,17.649632999999998,,24.77437,5.516634,22.544477,9.277538999999999,64.339996,172.582108,8.81414,26.970724,130.399994,,7.94405
88,2012-07-01,7.476255999999999,,,9.208826,,,12.080498,7.348266000000001,10.330489,300.0,,13.009256,18.811911,26.493362,21.218971,32.939632,49.515514,47.14365,,19.340015,23.290001,13.536629000000001,23.794632,24.033566,25.869349,11.844521,23.911453,,,17.710165,,24.984432,5.5665569999999995,22.585625,9.317861,63.939999,170.507126,8.850245,27.175581,128.33999599999999,,7.9931529999999995
89,2012-08-01,8.520605,,,8.691195,,,13.099914,7.942404,11.198083,279.519989,,13.41327,19.493692000000003,27.858814000000002,21.837339,34.373264,50.928715000000004,48.692036,,20.114683,24.209999,13.847667999999999,24.526901000000002,24.635509,27.015678,12.381961,24.693398000000002,,,18.311125,,25.520292,5.7288120000000005,23.139591,9.658289,62.240002000000004,160.65098600000002,9.342982000000001,28.014446000000003,128.699997,,8.265773
