,Date,ANGL,CJNK,GHYG,HYGH,HYHG,HYIH,HYLD,HYLS,HYND,HYS,HYZD,JNK,PGHY,PHB,RIGS,SHYG,SJB,SJNK,UJB,WBII
135,2016-06-01,23.87748,22.95089,41.302094,84.730003,54.30608,18.380383,33.849998,40.870289,16.270916,84.115593,22.610001,30.358177,20.431656,16.346982999999998,21.985266,39.588905,25.974688,23.004417,51.037079,23.374435000000002
136,2016-07-01,24.275379,23.490688000000002,42.120036999999996,85.769997,55.333225,19.129015,34.459998999999996,41.700626,16.876526000000002,85.17054,22.93,30.836613,20.989674,16.566005999999998,22.422216,40.10191,25.657803,23.247545000000002,54.018260999999995,23.679205
137,2016-08-01,24.894576999999998,23.746942999999998,42.951862,87.519997,57.123031999999995,19.376698,35.0,42.092940999999996,17.074049,86.356216,23.379998999999998,31.4116,21.10191,16.829691,22.538328,40.652519,25.063643,23.678810000000002,54.194427000000005,23.580042000000002
138,2016-09-01,25.181444,23.975154999999997,43.348389000000005,87.910004,57.531029000000004,19.452713,34.919998,42.253231,17.162792,87.547646,23.620001000000002,31.732091999999998,21.143572,16.965694,22.696934,40.989956,24.766562,23.955198,56.308422,23.511488
139,2016-10-01,25.01606,23.696266,42.998523999999996,87.449997,57.458778,19.35006,34.810001,42.118896,17.507092,87.021034,23.41,31.495094,21.221939000000003,16.857246,22.61553,40.949551,24.994326,23.896076,56.602314,23.211617
140,2016-11-01,25.065126,22.930637,42.399876,88.599998,58.553222999999996,19.947756,34.75,41.814507,18.221773000000002,87.940239,23.370001000000002,31.533185999999997,21.35014,16.828875,22.491139999999998,41.098178999999995,24.905199,24.015409,54.364326,23.254278
141,2016-12-01,25.288870000000003,23.44676,42.899066999999995,89.58000200000001,59.9217,20.251497,35.650002,42.434406,19.171644,89.075386,23.879998999999998,31.98494,21.635839,17.086395,22.78933,41.534611,24.400164,24.310442000000002,56.164047,23.206460999999997
142,2017-01-01,26.088129000000002,23.957092000000003,44.161983,90.410004,60.968849,20.599145999999998,36.130001,42.836739,19.102581,90.740257,23.93,32.711658,21.893673,17.234247,22.919565,42.32436,24.192207,24.798382,57.824898,23.380936
143,2017-02-01,26.292707,24.048357,44.368473,91.5,61.365997,20.529404,36.48,43.577026000000004,19.039789000000003,91.325096,24.030001000000002,32.986408000000004,22.047689000000002,17.335546,23.088131,42.581646,23.796101,24.958026999999998,58.351089,23.603270000000002
144,2017-03-01,26.401625,23.997387,44.460117,91.019997,60.879344999999994,20.615786,35.59,43.541805,19.011648,91.348602,23.950001,32.88541,22.103264000000003,17.297779000000002,23.111811,42.592209000000004,23.806005,24.918242000000003,57.251717000000006,23.562970999999997
