,Date,AIRR,CGW,CHII,EDOM,EVX,EXI,FIDU,FIW,FXR,IEV,ITA,IYJ,IYT,JETS,PHO,PIO,PPA,PSCI,RGI,SEA,SIJ,UXI,VIS,XAR,XLI,XTN,_PRN
667,2017-12-18,27.485490999999996,34.490013,14.488632,28.87995,,90.787811,37.75267,47.745209,40.072678,45.397282000000004,185.511993,144.574432,189.749847,32.552265000000006,29.914646,25.236334,53.495509999999996,64.202469,118.206055,11.164595,16.815844,71.98394,138.919388,82.73024000000001,73.556709,65.28511,60.922291
668,2017-12-25,27.306172999999998,34.19178,14.555311999999999,29.076094,,91.042702,37.840675,48.290588,40.161983,45.849899,185.758865,144.918579,188.784378,31.857582,30.137781,25.562853,53.465752,64.137245,118.579521,11.078642,16.72645,72.480118,139.330399,82.71043399999999,73.820107,64.591003,60.792629000000005
669,2018-01-01,27.38587,35.066466999999996,15.145945999999999,30.170151,,93.866028,38.789131,48.45916,40.785339,47.169323,189.343475,149.166138,193.96627800000002,32.525509,30.376732,25.955521,54.378338,64.375847,121.13468200000001,11.669597,16.011305,76.115654,142.628479,84.16548900000001,75.722427,65.374352,62.069317000000005
670,2018-01-08,28.065286999999998,34.812008,15.360367000000002,30.845171,,96.101173,39.923378,48.93512,42.071628999999994,47.916351,196.295502,153.079391,202.28096000000002,34.443451,30.894461,25.935888000000002,56.015049,65.877136,124.39743,11.83533,15.008113,80.42821500000001,146.914963,86.857834,78.210091,68.378815,63.744980000000005
671,2018-01-15,27.963672999999996,35.438365999999995,15.594281,31.123779,,96.150185,39.71804,49.351589000000004,41.992470000000004,48.372326,196.325104,153.049911,200.980545,33.966454,31.19315,26.485628000000002,56.094402,66.06603199999999,124.476051,11.776834,15.077642,80.557388,146.200531,86.798454,77.741837,68.239983,64.423225
672,2018-01-22,27.844128,35.624321,15.828195999999998,31.937165999999998,,97.071686,40.246047999999995,49.539986,42.180473,49.19696,201.46011399999998,155.44898999999998,197.522659,32.356575,31.611315,26.652511999999998,57.562481000000005,66.04615,125.62589299999999,11.962067999999999,14.551216,82.55468,147.551086,88.233711,78.688126,67.397163,64.63269
673,2018-01-29,26.927612,34.440102,15.038735,31.008781,,93.76799799999999,38.81847,48.181507,40.666603,47.256638,197.737244,148.85148600000002,189.47401399999998,31.819946,30.745113,25.778822,56.808601,64.167076,121.400024,11.250387,15.047844,76.662186,142.54039,86.046165,76.083389,64.86863699999999,62.448344999999996
674,2018-02-05,25.582726,32.286986999999996,13.479307,28.938846999999996,,88.46444699999999,36.67709,45.405045,38.479912,44.753616,188.820114,141.50676,179.918045,30.279631,28.773764,24.286673,54.467617000000004,61.61191899999999,114.66813700000002,10.792183,17.769367000000003,68.901558,134.779694,82.126442,72.005577,61.189915,59.30646899999999
675,2018-02-12,26.469355,33.35376,14.960764000000001,30.450628000000002,,92.62101700000001,38.407790999999996,47.556805,40.072928999999995,46.499908000000005,200.235611,148.25173999999998,186.52839699999998,31.800071999999997,30.197516999999998,25.042562,57.592236,63.92845500000001,120.25019099999999,11.143148,15.673596,75.191536,140.974548,87.471535,75.400497,63.371371999999994,62.278778
676,2018-02-19,26.319921,33.65715,14.717103,30.244944,,93.022949,38.456684,47.586555,40.260925,46.325278999999995,200.561508,148.83183300000002,188.134201,32.108135,30.456383000000002,25.22908,57.572399,64.524986,120.20105,10.90917,15.673596,75.241219,141.571518,87.471535,75.78096,63.341625,61.899761
677,2018-02-26,25.791929,32.46315,14.756089000000001,29.408184000000002,,89.601624,37.302887,46.138824,39.152733000000005,44.947651,197.09536699999998,144.426941,183.947311,31.919321000000004,29.51053,24.424107,56.481258,62.993889,117.01693,10.509459,16.696651,70.670311,137.128433,86.392616,73.293304,62.201317,60.14430600000001
678,2018-03-05,26.987387,34.029057,15.009495999999999,29.814877000000003,,92.483772,38.95536,48.766548,40.824917,45.917815999999995,202.526627,150.47383100000002,191.14875800000002,33.221138,31.133413,25.621751999999997,58.088211,66.374245,122.156754,10.597201,15.335888,76.58268000000001,143.313522,89.03546899999999,76.532143,64.690163,62.797436
