,Date,AADR,COPX,CRAK,DBAW,ECON,EDC,EEM,EEMS,EMCG,EMFM,FAN,FIEG,FLN,FM,FNDE,FONE,FPA,FPXI,FWDI,GDXJ,GDXS,HAWX,HEEM,HGI,HILO,ICLN,IEMG,IFV,IQDF,JDST,KALL,KOL,LIT,PBD,PICK,QEMM,SIL,SLVP,SLX,SOCL,SOIL,TLEH,TLTE,VIDI
100,2013-07-01,32.571152000000005,23.580297,,,24.654749,94.506165,34.532902,38.781422,,,8.095742,,18.930006,24.317762,,27.602078999999996,22.301701,,23.348473000000002,37.672787,,,,13.972223999999999,15.197585,7.967688000000001,40.494392,0.181872,19.667355,,,14.599957,20.834332999999997,9.696525999999999,28.781435,,37.333637,11.691366,33.26585,16.449104000000002,9.442803,,42.880096,
101,2013-08-01,31.831108,24.611423000000002,,,23.343629999999997,86.440475,33.656525,37.544537,,,8.011851,,17.946838,23.782024,21.926828,27.713907,22.240839,,22.850737,44.831272,,,,13.766993,14.134006,7.617178,39.485077000000004,0.181872,19.377438,,,15.162435,20.61787,9.448835,28.797594,,43.259621,13.094329,34.008354,17.284832,9.216939,,43.423996,
102,2013-09-01,33.964721999999995,25.941038,,,25.595333,104.97187,36.082058,39.700493,22.098263,,8.766895,,19.486061,24.465284,23.615572,30.024946000000003,24.136271,,24.93219,37.924129,,,,14.464782999999999,14.773819,8.754196,42.330296000000004,0.181872,20.513603,,,15.488508,24.117317,10.503803999999999,31.948853000000003,,37.248981,11.397938,36.635677,19.379070000000002,10.050896,,44.511784000000006,
103,2013-10-01,35.352790999999996,26.456604,,,25.946867,117.56219499999999,37.586952000000004,41.925163,22.728127999999998,,9.428053,110.08000200000001,20.275824,25.140778,24.562696,30.489465999999997,24.899286,,25.42993,34.982535999999996,,,,15.155191,15.407537,9.053412,44.061797999999996,0.181872,21.42511,31801.677733999997,,16.254782000000002,23.41382,11.048532000000002,32.966946,,36.430637,11.27873,38.98558,19.103773,10.198573,,46.468056,22.072794000000002
104,2013-11-01,35.766209,24.204401,,,25.490824,115.79168700000001,37.489571000000005,41.392616,22.568441,21.5695,9.352427,110.75,19.058949,25.614397,24.205292,30.844648,24.759451000000002,,25.755724,30.253659999999996,,,,15.204907,14.871039000000001,9.044864,43.809464,0.181872,21.393564,45644.757813,,16.230326,22.926786,11.057716000000001,31.93269,,32.875053,10.132518,39.254845,19.08411,10.068269,,45.994335,21.719625
105,2013-12-01,36.02581,25.425473999999998,,,25.538328,112.919525,37.002697,40.928776,21.974073,21.299231,9.537291,114.199997,18.986420000000003,26.196722,23.999782999999997,31.218525,24.689529,,25.791832,28.903878999999996,,,,15.312623,14.627944,8.925178,43.339607,0.181872,21.480304999999998,48054.210938,,15.84719,23.467935999999998,11.085267,32.320538,,31.605197999999998,9.637354,40.568508,20.86372,9.911902,,45.713619,21.887376999999997
106,2014-01-01,34.851627,24.21665,,19.737368,23.172792,84.709312,34.112384999999996,39.296761,19.884516,20.29245,9.579494,105.410004,17.032698,26.295771000000002,22.078235999999997,30.905745,23.126171,,25.516317,32.943909000000005,,,,15.026344,13.338723000000002,8.956237,40.257355,0.181872,20.398491,27686.166016000003,,14.771423,22.386307000000002,11.396482,30.888496000000004,,34.207825,10.698947,37.609776000000004,20.922710000000002,9.634086,,42.320469,20.421827
107,2014-02-01,36.986571999999995,25.993267000000003,,20.313587,24.484102,92.57826999999999,35.264641,40.911217,20.711184,21.611501999999998,10.244504,117.190002,17.04883,27.174892,22.464474,32.796982,24.850294,,26.630527,38.482655,,,,15.787272,13.389828,9.665811999999999,41.618885,0.181872,21.564348000000003,14733.530272999998,,15.171781,25.209482,12.750793,32.709365999999996,,39.691303000000005,12.294976,37.768005,21.94525,10.163917999999999,,43.585484,21.367371
108,2014-03-01,36.255691999999996,24.927298,,19.940262,25.393402,102.76857,36.631283,42.194054,21.733412,22.319075,10.143489,119.739998,18.47628,28.201821999999996,23.236944,33.180836,25.158175,,26.612019,33.716541,,,,15.812366,13.687948,9.691773,43.112175,0.181872,21.849859,19417.732422,,15.422003,24.720856,12.43755,32.146549,,36.338707,10.958768,38.750729,19.162764000000003,10.375849,,45.204353000000005,21.844551
109,2014-04-01,36.319481,25.473945999999998,,20.475899,25.297688,104.460388,36.917122,42.176590000000004,21.85264,22.869408,10.31076,126.279999,18.34277,28.92535,23.416586,33.138798,25.616139999999998,,26.363487,33.977188,,,,16.192830999999998,13.893332999999998,9.259106,43.533806,0.181872,22.466425,16940.941406,,15.8724,23.68931,11.967686,32.444515,,35.571594,10.791739999999999,38.201069,16.891551999999997,10.472985000000001,,45.434357,22.200081
110,2014-05-01,36.829659,27.086569,,20.841105,25.910267,113.431,38.006863,43.171459000000006,22.653429,23.044114999999998,11.070148,128.66000400000001,19.272033999999998,30.255695000000003,24.260912,34.706984999999996,26.553103999999998,,27.026484999999997,31.752378000000004,,,,16.656931,14.467227,9.639854,44.754795,0.181872,22.920862,19986.416016,,15.305229999999998,24.123646,12.244077,32.394852,,32.361053000000005,9.817421000000001,38.242709999999995,17.501141,10.375849,,46.867447,22.617110999999998
